name,selling_price,km_driven,fuel,transmission,owner,mileage,engine,seats,year
Hyundai i20 Asta 1.4 CRDi,425000,60000,Diesel,Manual,First Owner,21.27 kmpl,1396 CC,5,2013
Maruti Swift Dzire ZDI,630000,147000,Diesel,Manual,Second Owner,26.59 kmpl,1248 CC,5,2015
Ford Figo 1.2P Titanium MT,600000,25000,Petrol,Manual,Third Owner,18.16 kmpl,1196 CC,5,2017
Maruti Baleno Delta 1.2,650000,30000,Petrol,Manual,First Owner,21.4 kmpl,1197 CC,5,2019
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,40000,Diesel,Manual,First Owner,22.0 kmpl,1498 CC,5,2016
Honda City i DTEC VX,630000,135000,Diesel,Manual,First Owner,25.1 kmpl,1498 CC,5,2015
Maruti Wagon R AMT VXI,448000,30000,Petrol,Automatic,First Owner,20.51 kmpl,998 CC,5,2018
Volkswagen Ameo 1.5 TDI Comfortline,500000,80000,Diesel,Manual,First Owner,21.66 kmpl,1498 CC,5,2017
Maruti Vitara Brezza VDi,745000,70000,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,5,2016
Maruti Vitara Brezza ZDi Plus AMT,1025000,9850,Diesel,Automatic,First Owner,24.3 kmpl,1248 CC,5,2019
Hyundai i10 Magna,235000,60000,Petrol,Manual,Second Owner,20.36 kmpl,1197 CC,5,2011
Maruti Swift VDI Deca,630000,70000,Diesel,Manual,First Owner,25.2 kmpl,1248 CC,5,2016
Toyota Fortuner 4x4 MT,1700000,78000,Diesel,Manual,Second Owner,12.55 kmpl,2982 CC,7,2015
Maruti Swift Star VDI,450000,120000,Diesel,Manual,Second Owner,22.9 kmpl,1248 CC,5,2013
Maruti Ertiga ZXI,450000,120000,Petrol,Manual,Second Owner,16.02 kmpl,1373 CC,7,2012
Tata Indica DLS,50000,70000,Diesel,Manual,First Owner,,,,2003
Volkswagen Vento Diesel Highline,450000,170000,Diesel,Manual,First Owner,20.54 kmpl,1598 CC,5,2013
Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,140000,Diesel,Manual,First Owner,12.99 kmpl,2494 CC,8,2016
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,90000,Diesel,Manual,First Owner,22.77 kmpl,1498 CC,5,2015
BMW X1 sDrive20i xLine,2500000,30000,Petrol,Automatic,Second Owner,15.71 kmpl,1998 CC,5,2016
Maruti Celerio ZXI MT BSIV,484999,10000,Petrol,Manual,First Owner,23.1 kmpl,998 CC,5,2017
Datsun GO A Petrol,275000,49000,Petrol,Manual,First Owner,19.02 kmpl,1198 CC,5,2016
Maruti Alto 800 VXI BSIV,315000,32000,Petrol,Manual,First Owner,24.7 kmpl,796 CC,5,2016
Maruti Alto 800 LXI BSIV,275000,38000,Petrol,Manual,First Owner,24.7 kmpl,796 CC,5,2016
Maruti Swift VDI BSIV W ABS,475000,78000,Diesel,Manual,First Owner,,,,2015
Hyundai i10 Era 1.1,290000,28000,Petrol,Manual,First Owner,19.81 kmpl,1086 CC,5,2012
Maruti Omni 8 Seater BSIV,280000,32000,Petrol,Manual,First Owner,14.0 kmpl,796 CC,5,2017
Maruti Wagon R LXI LPG BSIV,225000,44000,LPG,Manual,First Owner,26.2 km/kg,998 CC,5,2010
Volkswagen Polo 1.2 MPI Comfortline,455000,42000,Petrol,Manual,First Owner,16.47 kmpl,1198 CC,5,2015
Hyundai i10 Magna 1.1L,351000,45000,Petrol,Manual,Second Owner,19.81 kmpl,1086 CC,5,2015
Volkswagen Vento Petrol Highline,535000,12000,Petrol,Manual,Second Owner,15.04 kmpl,1598 CC,5,2012
Maruti Zen Estilo LXI BSIII,175000,55500,Petrol,Manual,First Owner,18.2 kmpl,998 CC,5,2009
Hyundai i20 Asta Optional with Sunroof 1.2,525000,61500,Petrol,Manual,First Owner,18.5 kmpl,1197 CC,5,2013
Maruti Swift Dzire LDI,600000,150000,Diesel,Manual,First Owner,26.59 kmpl,1248 CC,5,2016
Hyundai Xcent 1.2 Kappa SX Option AT,565000,72000,Petrol,Automatic,First Owner,19.1 kmpl,1197 CC,5,2016
Maruti Alto LX BSIII,120000,68000,Petrol,Manual,Third Owner,19.7 kmpl,796 CC,5,2008
Hyundai i20 1.4 Asta Option,725000,110000,Diesel,Manual,First Owner,22.54 kmpl,1396 CC,5,2017
Maruti Wagon R VXI,185000,77000,Petrol,Manual,Second Owner,21.79 kmpl,998 CC,5,2009
Tata Manza Aura (ABS) Quadrajet,200000,100000,Diesel,Manual,Second Owner,18.8 kmpl,1248 CC,5,2010
Maruti Swift VXI,615000,10000,Petrol,Manual,First Owner,21.21 kmpl,1197 CC,5,2019
Maruti Eeco 7 Seater Standard BSIV,270000,100000,Petrol,Manual,Third Owner,15.37 kmpl,1196 CC,7,2016
Maruti Baleno Zeta 1.2,610000,35000,Petrol,Manual,First Owner,21.4 kmpl,1197 CC,5,2018
Mahindra Scorpio VLX AT AIRBAG BSIV,625000,70000,Diesel,Automatic,Second Owner,11.79 kmpl,2179 CC,8,2014
Ford Freestyle Titanium Petrol BSIV,400000,5000,Petrol,Manual,Second Owner,19.0 kmpl,1194 CC,5,2020
Hyundai Verna VTVT 1.6 SX,866000,37800,Petrol,Manual,First Owner,17.0 kmpl,1591 CC,5,2017
Volkswagen Passat 1.8 TSI MT,700000,114000,Petrol,Manual,First Owner,14.3 kmpl,1798 CC,5,2010
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,48000,Petrol,Manual,First Owner,15.8 kmpl,1172 CC,5,2010
Mahindra XUV500 W11 Option AWD,1700000,32000,Diesel,Manual,First Owner,15.1 kmpl,2179 CC,7,2019
Tata Indigo CS LS (TDI) BS-III,375000,100000,Diesel,Manual,First Owner,19.09 kmpl,1405 CC,5,2016
Hyundai Verna 1.6 SX,522000,150000,Diesel,Manual,Second Owner,22.32 kmpl,1582 CC,5,2013
Hyundai i20 Magna 1.4 CRDi (Diesel),451999,69000,Diesel,Manual,First Owner,21.9 kmpl,1396 CC,5,2013
Toyota Corolla Altis G,300000,100000,Petrol,Manual,Second Owner,14.53 kmpl,1798 CC,5,2009
Maruti Celerio VXI,475000,13000,Petrol,Manual,First Owner,21.63 kmpl,998 CC,5,2020
Maruti Vitara Brezza ZDi Plus Dual Tone,780000,60000,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,5,2016
Maruti Swift Dzire VXI,595000,40000,Petrol,Manual,First Owner,20.85 kmpl,1197 CC,5,2017
Maruti Wagon R VXI BS IV,440000,35000,Petrol,Manual,First Owner,20.51 kmpl,998 CC,5,2017
Maruti Swift VDI BSIV,300000,120000,Diesel,Manual,Second Owner,,,,2010
Nissan Terrano XL 85 PS,400000,70000,Diesel,Manual,Third Owner,20.45 kmpl,1461 CC,5,2014
Hyundai Creta 1.6 CRDi SX,1140000,50000,Diesel,Manual,First Owner,19.67 kmpl,1582 CC,5,2016
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,76139,Diesel,Manual,First Owner,23.0 kmpl,1498 CC,5,2017
Maruti Swift Dzire VDi,370000,175000,Diesel,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,5,2012
Renault KWID 1.0,350000,25000,Petrol,Manual,First Owner,23.01 kmpl,999 CC,5,2018
Maruti Celerio VXI,360000,40000,Petrol,Manual,Second Owner,23.1 kmpl,998 CC,5,2015
Maruti Alto LXi,105000,65000,Petrol,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,5,2008
Maruti Ertiga VDI,625000,90000,Diesel,Manual,Second Owner,20.77 kmpl,1248 CC,7,2013
Hyundai Santro Xing GLS,135000,80000,Petrol,Manual,Second Owner,17.92 kmpl,1086 CC,5,2009
Maruti Ertiga VDI,700000,110000,Diesel,Manual,Second Owner,20.77 kmpl,1248 CC,7,2015
Honda Amaze S i-VTEC,690000,1303,Petrol,Manual,First Owner,17.8 kmpl,1198 CC,5,2019
Audi Q5 35TDI Premium Plus,3975000,31800,Diesel,Automatic,First Owner,17.01 kmpl,1968 CC,5,2018
Lexus ES 300h,5150000,20000,Petrol,Automatic,First Owner,22.37 kmpl,2487 CC,5,2019
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,First Owner,19.33 kmpl,1999 CC,5,2017
Jeep Wrangler 2016-2019 3.6 4X4,4100000,17000,Petrol,Automatic,First Owner,9.5 kmpl,3604 CC,5,2017
Land Rover Discovery Sport TD4 SE,4500000,21000,Diesel,Automatic,First Owner,12.83 kmpl,1999 CC,7,2019
Mercedes-Benz S-Class S 350 CDI,6000000,37000,Diesel,Automatic,First Owner,13.5 kmpl,2987 CC,5,2017
BMW 5 Series 520d Sport Line,3790000,29500,Diesel,Automatic,First Owner,22.48 kmpl,1995 CC,5,2018
BMW X1 sDrive 20D xLine,2150000,27000,Diesel,Automatic,First Owner,,,,2017
BMW X4 M Sport X xDrive20d,5800000,7500,Diesel,Automatic,First Owner,16.78 kmpl,1995 CC,5,2019
Skoda Superb LK 1.8 TSI AT,1864999,50000,Petrol,Automatic,First Owner,14.67 kmpl,1798 CC,5,2018
Mercedes-Benz E-Class E250 Edition E,2700000,35000,Diesel,Automatic,First Owner,15.0 kmpl,2143 CC,5,2016
MG Hector Sharp AT BSIV,1750000,19000,Petrol,Automatic,First Owner,13.96 kmpl,1451 CC,5,2019
Honda City i-VTEC CVT VX,795000,41000,Petrol,Automatic,First Owner,18.0 kmpl,1497 CC,5,2017
Toyota Corolla Altis 1.8 G CVT,625000,39000,Petrol,Automatic,First Owner,14.28 kmpl,1798 CC,5,2013
Volvo XC40 D4 R-Design,3400000,22000,Diesel,Automatic,First Owner,18.0 kmpl,1969 CC,5,2018
Audi Q7 35 TDI Quattro Premium,2650000,53000,Diesel,Automatic,First Owner,12.07 kmpl,2967 CC,7,2015
Maruti Ciaz ZDi,535000,40000,Diesel,Manual,First Owner,26.21 kmpl,1248 CC,5,2015
Mercedes-Benz S-Class S 350 CDI,5850000,47000,Diesel,Automatic,First Owner,13.5 kmpl,2987 CC,5,2017
BMW 5 Series 523i,975000,72200,Petrol,Automatic,Second Owner,10.8 kmpl,2497 CC,5,2010
Hyundai Elantra S,805000,49900,Petrol,Manual,First Owner,16.3 kmpl,1797 CC,5,2016
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Automatic,First Owner,13.6 kmpl,1999 CC,5,2017
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,11000,Petrol,Manual,First Owner,17.0 kmpl,1198 CC,5,2018
Volkswagen Vento Petrol Highline,375000,49000,Petrol,Manual,First Owner,15.04 kmpl,1598 CC,5,2011
Hyundai Elantra SX,550000,95000,Petrol,Manual,First Owner,16.3 kmpl,1797 CC,5,2012
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Automatic,First Owner,14.3 kmpl,1598 CC,5,2016
Mercedes-Benz CLA 200 CGI Sport,2550000,18000,Petrol,Automatic,First Owner,15.04 kmpl,1991 CC,5,2018
Maruti Ertiga ZXI,599000,46100,Petrol,Manual,First Owner,16.02 kmpl,1373 CC,7,2014
Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,16000,Petrol,Automatic,First Owner,14.74 kmpl,1991 CC,5,2017
Honda City V AT,875000,18000,Petrol,Automatic,First Owner,15.6 kmpl,1497 CC,5,2017
Toyota Glanza V CVT,894999,9654,Petrol,Automatic,First Owner,19.56 kmpl,1197 CC,5,2019
Maruti Alto K10 VXI,175000,11000,Petrol,Manual,First Owner,23.95 kmpl,998 CC,5,2011
Maruti Swift VXI,340000,24300,Petrol,Manual,First Owner,21.21 kmpl,1197 CC,5,2012
Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,42163,Diesel,Automatic,Second Owner,11.36 kmpl,2755 CC,7,2016
Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,8000,Diesel,Automatic,First Owner,21.5 kmpl,1497 CC,5,2018
BMW 3 Series 320d Luxury Line,2150000,30000,Diesel,Automatic,First Owner,22.69 kmpl,1995 CC,5,2016
Toyota Camry 2.5 Hybrid,1900000,41000,Petrol,Automatic,First Owner,19.16 kmpl,2494 CC,5,2016
BMW 5 Series 520d Luxury Line,2900000,12000,Diesel,Automatic,First Owner,18.12 kmpl,1995 CC,5,2016
Toyota Camry W4 (AT),450000,71000,Petrol,Automatic,First Owner,12.1 kmpl,2362 CC,5,2009
Maruti Ertiga BSIV ZXI Plus,850000,20000,Petrol,Manual,First Owner,17.5 kmpl,1373 CC,7,2016
Volvo XC90 T8 Excellence BSIV,10000000,30000,Petrol,Automatic,First Owner,42.0 kmpl,1969 CC,4,2017
Volkswagen Vento Diesel Highline,300000,100000,Diesel,Manual,Second Owner,20.54 kmpl,1598 CC,5,2011
Ford Figo Aspire 1.2 Ti-VCT Trend,575000,9500,Petrol,Manual,First Owner,18.16 kmpl,1196 CC,5,2018
Ford Figo Diesel LXI,160000,120000,Diesel,Manual,First Owner,20.0 kmpl,1399 CC,5,2011
Maruti Swift VXI Optional,515000,36600,Petrol,Manual,First Owner,20.4 kmpl,1197 CC,5,2015
Maruti Wagon R AMT VXI,390000,50000,Petrol,Automatic,Second Owner,20.51 kmpl,998 CC,5,2015
Hyundai i20 Magna 1.2,550000,14000,Petrol,Manual,Second Owner,18.6 kmpl,1197 CC,5,2016
Maruti 800 Std,40000,40000,Petrol,Manual,Second Owner,16.1 kmpl,796 CC,4,1999
Maruti Ritz VDi,220000,120000,Diesel,Manual,First Owner,21.1 kmpl,1248 CC,5,2010
Hyundai Grand i10 Magna,425000,70000,Petrol,Manual,First Owner,18.9 kmpl,1197 CC,5,2015
Volkswagen Ameo 1.0 MPI Trendline,480000,13000,Petrol,Manual,First Owner,19.44 kmpl,999 CC,5,2019
Hyundai Grand i10 Sportz,400000,60000,Petrol,Manual,Second Owner,18.9 kmpl,1197 CC,5,2014
Maruti Swift Dzire VXI,487000,35000,Petrol,Manual,First Owner,19.1 kmpl,1197 CC,5,2014
Hyundai Xcent 1.2 Kappa S,386000,44000,Petrol,Manual,Second Owner,19.1 kmpl,1197 CC,5,2016
Honda City 1.5 EXI,100000,120000,Petrol,Manual,Second Owner,13.0 kmpl,1493 CC,5,2005
Toyota Corolla Altis Diesel D4DG,300000,60000,Diesel,Manual,First Owner,21.43 kmpl,1364 CC,5,2010
Daewoo Matiz SD,100000,60000,Petrol,Manual,First Owner,18.5 kmpl,796 CC,5,2000
Toyota Fortuner 4x2 Manual,1750000,30000,Diesel,Manual,Second Owner,13.0 kmpl,2982 CC,7,2014
Mahindra KUV 100 mFALCON G80 K8,450000,15000,Petrol,Manual,Second Owner,18.15 kmpl,1198 CC,6,2016
Tata Zest Quadrajet 1.3 75PS XM,490000,90000,Diesel,Manual,First Owner,22.95 kmpl,1248 CC,5,2017
Honda City 1.5 S MT,345000,47000,Petrol,Manual,Second Owner,17.0 kmpl,1497 CC,5,2009
Maruti Zen LXI,85000,90000,Petrol,Manual,First Owner,17.3 kmpl,993 CC,5,2005
Maruti Wagon R VXI BS IV with ABS,215000,120600,Petrol,Manual,Second Owner,18.9 kmpl,998 CC,5,2010
Hyundai Verna Transform SX VTVT,320000,100000,Petrol,Manual,Third Owner,16.2 kmpl,1599 CC,5,2010
Maruti Swift Dzire VXI,459999,60000,Petrol,Manual,Second Owner,20.85 kmpl,1197 CC,5,2016
Hyundai Getz GLS,65000,86000,Petrol,Manual,First Owner,15.3 kmpl,1341 CC,5,2005
Hyundai Elite i20 Sportz Plus BSIV,720000,5000,Petrol,Manual,First Owner,18.6 kmpl,1197 CC,5,2020
Maruti Ciaz 1.3 Alpha,800000,37000,Diesel,Manual,First Owner,28.09 kmpl,1248 CC,5,2017
Tata Tigor 1.2 Revotron XZ,520000,14000,Petrol,Manual,First Owner,20.3 kmpl,1199 CC,5,2019
Maruti Ertiga VDI,580000,70000,Diesel,Manual,First Owner,20.77 kmpl,1248 CC,7,2015
Toyota Etios GD,235000,120000,Diesel,Manual,First Owner,,,,2012
Honda City i VTEC S,600000,50000,Petrol,Manual,First Owner,17.4 kmpl,1497 CC,5,2015
Honda Brio S MT,290000,60000,Petrol,Manual,Second Owner,19.4 kmpl,1198 CC,5,2014
Maruti Wagon R LXI CNG,360000,50000,CNG,Manual,First Owner,26.6 km/kg,998 CC,5,2016
Maruti Swift Dzire VXI,550000,50000,Petrol,Manual,First Owner,20.85 kmpl,1197 CC,5,2017
Hyundai i20 Sportz 1.2,375000,70000,Petrol,Manual,First Owner,18.5 kmpl,1197 CC,5,2013
Maruti Omni E 8 Str STD,40000,90000,Petrol,Manual,Second Owner,,,,2003
Maruti Wagon R AMT VXI,420000,35000,Petrol,Automatic,First Owner,20.51 kmpl,998 CC,5,2018
Maruti Swift Dzire VXI 1.2,550000,20000,Petrol,Manual,First Owner,21.21 kmpl,1197 CC,5,2017
Maruti Alto 800 LXI,270000,20000,Petrol,Manual,First Owner,24.7 kmpl,796 CC,5,2018
Maruti Swift Dzire AMT VXI BS IV,700000,7800,Petrol,Automatic,First Owner,22.0 kmpl,1197 CC,5,2018
Maruti Swift VXI Optional,500000,20000,Petrol,Manual,First Owner,20.4 kmpl,1197 CC,5,2017
Tata Hexa XE,1250000,15000,Diesel,Manual,First Owner,17.6 kmpl,2179 CC,7,2019
Hyundai i20 Magna,320000,31377,Petrol,Manual,Second Owner,18.5 kmpl,1197 CC,5,2013
Maruti Swift Dzire VDI,700000,50000,Diesel,Manual,First Owner,28.4 kmpl,1248 CC,5,2018
Maruti Wagon R VXI BS IV,290000,60000,Petrol,Manual,First Owner,20.51 kmpl,998 CC,5,2015
Toyota Corolla Altis 1.8 VL AT,550000,100000,Petrol,Automatic,First Owner,14.53 kmpl,1794 CC,5,2012
Honda Brio S MT,265000,60000,Petrol,Manual,First Owner,19.4 kmpl,1198 CC,5,2012
Maruti Baleno Alpha Automatic,830000,5000,Petrol,Automatic,First Owner,21.4 kmpl,1197 CC,5,2018
Tata Safari Storme EX,800000,60000,Diesel,Manual,First Owner,14.1 kmpl,2179 CC,7,2017
Maruti Alto LXi,160000,25000,Petrol,Manual,Second Owner,19.7 kmpl,796 CC,5,2011
Renault KWID RXT,335000,30000,Petrol,Manual,First Owner,25.17 kmpl,799 CC,5,2018
Datsun GO T BSIV,329000,80000,Petrol,Manual,Second Owner,20.63 kmpl,1198 CC,5,2017
Maruti Vitara Brezza VDi Option,775000,75000,Diesel,Manual,First Owner,24.3 kmpl,1248 CC,5,2017
Hyundai Xcent 1.2 VTVT SX,524000,32000,Petrol,Manual,First Owner,20.14 kmpl,1197 CC,5,2020
Maruti Alto 800 LXI,245000,40000,Petrol,Manual,First Owner,22.74 kmpl,796 CC,5,2015
Hyundai i20 1.2 Sportz,275000,93000,Petrol,Manual,Second Owner,17.0 kmpl,1197 CC,5,2012
Tata Zest Revotron 1.2 XT,520000,60000,Petrol,Manual,First Owner,17.57 kmpl,1193 CC,5,2018
Maruti Swift 1.3 VXi,130000,120000,Petrol,Manual,Second Owner,,,,2008
Nissan Sunny XL,550000,37000,Petrol,Manual,First Owner,16.95 kmpl,1498 CC,5,2014
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,910000,15000,Petrol,Manual,First Owner,17.0 kmpl,1497 CC,5,2018
Nissan Micra Active XV S,300000,80000,Petrol,Manual,First Owner,19.49 kmpl,1198 CC,5,2015
Maruti Wagon R LXI Optional,350000,140000,Petrol,Manual,First Owner,20.51 kmpl,998 CC,5,2016
Mahindra Ssangyong Rexton RX5,900000,70000,Diesel,Manual,First Owner,12.83 kmpl,2696 CC,7,2013
Mahindra Quanto C8,300000,120000,Diesel,Manual,Second Owner,17.21 kmpl,1493 CC,7,2013
Maruti Ritz LDi,250000,110000,Diesel,Manual,Second Owner,21.1 kmpl,1248 CC,5,2010
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1100000,37000,Diesel,Manual,First Owner,19.67 kmpl,1582 CC,5,2017
Renault KWID RXT,270000,44000,Petrol,Manual,First Owner,25.17 kmpl,799 CC,5,2016
Maruti Ertiga VDI,640000,80000,Diesel,Manual,First Owner,20.77 kmpl,1248 CC,7,2015
Mahindra XUV500 W4,650000,125000,Diesel,Manual,First Owner,15.1 kmpl,2179 CC,7,2015
Maruti Eeco 5 Seater AC BSIV,409999,13500,Petrol,Manual,First Owner,15.37 kmpl,1196 CC,5,2017
Hyundai Santro Xing GLS,165000,75000,Petrol,Manual,First Owner,17.92 kmpl,1086 CC,5,2011
Hyundai Accent GLE,80000,120000,Petrol,Manual,Second Owner,13.2 kmpl,1495 CC,5,2007
